"address","balance","last_tx_at","last_tx_hash","code_hash"
"0:D5F40F56D06A5B9C586223A849906512348A94ECDC71FAB9F915542C01CED991",100441469964,"2025-03-07 10:07:41.000 UTC","rLqYPwo5chyWYqP6qnfQ9LoBdZrnGvesVkcQgBL4l/Q=","KDALIz33zAQeqngMnYCkneX5K9qcMEQ2Yn+yAFCI3hM="
"-1:E250F65D28B382AEA70DA43B8518D1268AE070301D7C4C15CD8C38A67B0A4313",98871523394,"2024-10-16 15:36:16.000 UTC","qOD2SMUN+Tyq3i2TZ5mWp776Wlj8vT256fOn5EoLPUQ=","hNr6RJ+Ypph3ibojI1gHK8D3bcRSQAKl0JGLmnXS1Zk="
"0:BCA5D381E84775CB87C62C2A0E922C163A6E866E82F45A7DAB747BDCF56B898E",42671216582,"2025-03-23 00:00:40.000 UTC","jv/E+8sJaX7bOsvKyyo2LU0k5QwDlXsCk94JSSe+B8w=","RvnFm7bG1MISRqYFXg/iWs94lNIh53wV8maGSoACw5w="
"0:3311F653DA48947935078AE188320298385916B723BC61995EC73137EF66393D",33976389204,"2025-12-14 14:07:08.000 UTC","Wo7wxByE65d9S3fYvVLiZ0kwcqmPGL8jHp7mBtAaApA=","tG5ULAqD4kJd1HmbT0JJxD0bgZkHxLJwky1nDr7yhlU="
"-1:7A56045023DE0B7D3E6EC80E2FB245DF9B8AD5C1FD66CFC7749E5696AF882F1F",32759444006,"2024-05-31 12:29:40.000 UTC","gSeo6wgYEeZ9zAsmU2PeY3iXUNjnpCXAYGOblFbN0CM=","lqKW0iTyhcZ77pPDD4owkVfw2qNdxbh+QQt4YwoJz8c="
"-1:8E73C5B4A997A691983006A974DB17A16EA6B506E82E37DF6B761483989A1E4A",21999976001,"2022-10-24 08:58:01.000 UTC","qIHttaI4eYavfPyiKhJtnGKw+jEOZQrRVYunCvVGaj4=","mj7BS8CY9rRAZMMFIiyuooAPF92oXuaoGYpwle3hDc8="
"0:9E227A8D2F3D551E34C272F3374FAB5E1DA23235A5395E19CBA0767A3CE2CDA6",17941461049,"2026-04-01 08:42:24.000 UTC","sL8G6GVwkwSHazK7zd1iS8yZAG2p0kX394c32Rcecj0=","lJTRzI7fEvBWcaGpugmSEJbrUIEeGSTsZcPGKfu4CBI="
"-1:D5AE8E23B3F438EDEE4A5A67CDB6D3AF4C53AE9854CD197DFBEDF5F269565AE6",10320895174,"2024-09-28 12:59:35.000 UTC","SYnQjostDw7N8+OvTEjxa7GW+yBaMP6p13Yf9ZFAkAY=","mj7BS8CY9rRAZMMFIiyuooAPF92oXuaoGYpwle3hDc8="
"0:9CB4DBAF0F21E2DFDD5D69422576A87CD1C48B29529B3AB6643AEC2FF772598B",7777211447,"2024-06-16 10:39:16.000 UTC","IABHmvg/L8sZb3amfXLMzI2r5by3Ge2lOdmTHgbq1GU=","+SRmfw/EvHgjr7xKTt1CfZd8IBZZq2rXINMdqDWonQ4="
"0:82FE6147F7870396FE3AE3A5E7730404B9BE015B3B46E7B0286A6D48CA708B06",4368511945,"2025-10-25 19:23:32.000 UTC","cIDL/FyWHIaZbDOtXrFOGDRYTpTFvAKHkqVU4GZEeUw=","lJTRzI7fEvBWcaGpugmSEJbrUIEeGSTsZcPGKfu4CBI="
